qote,score,title
只有有信仰的人才能说出事实真相。,8.7,一次别离
坚硬的信仰。,8.7,可可西里
做一颗让别人需要你的棋子。,8.5,战争之王
好的剧本是，就算你猜到了结局也猜不到全部。,8.8,未麻的部屋
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.6,爆裂鼓手
一场没有春天的噩梦。,8.7,梦之安魂曲
天使保护事件始末。,8.8,地球上的星星
不要企图在重复中寻找已经失去的爱。,8.3,恐怖游轮
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,8.7,碧海蓝天
Jared Leto的腿比女人还美！,8.6,达拉斯买家俱乐部
王家卫是一种风格，张国荣是一个代表。,8.5,阿飞正传
弱者送给弱者的一刀。,8.7,牯岭街少年杀人事件
谁说王家卫镜头很晃？,8.5,谍影重重2
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.5,谍影重重
热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.5,被解救的姜戈
青春就是放弃和怀念。,8.3,秒速5厘米
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.5,魔女宅急便
故事的反转与反转，分裂电影的始祖。,8.9,惊魂记
生命不止，摇滚不死。,8.6,海盗电台
爱我就给我看你的播放列表。,8.5,再次出发之纽约遇见你
养狗三日，便会对你终其一生。,9.0,忠犬八公物语
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.4,青蛇
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,9.2,东京物语
天使暂时离开。,8.7,绿里奇迹
想你时你在闹海。,8.9,哪吒闹海
没有了退路，只好飞向自由。,8.7,末路狂花
类型片的极致。 ,8.5,勇闯夺命岛
少见的超越首部的续集，动作片中的经典。,8.5,终结者2：审判日
与同名歌曲无关。,8.6,卡萨布兰卡
科幻真正的魅力不是视觉效果能取代的。 ,8.5,这个男人来自地球
出门必备：本草纲目。,8.6,荒野生存
最美的飞翔。,9.1,迁徙的鸟
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.3,源代码
嬉笑怒骂，调风动月。,8.5,新龙门客栈
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,8.4,变脸
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.5,黑客帝国3：矩阵革命
愿我们都不用长大，每一座城堡都能永远存在。,8.7,头脑特工队
永远的小人物，伟大的卓别林。,9.2,城市之光
生病的E.T.皮肤的颜色就像柿子饼。,8.5,E.T. 外星人
现实与童话交相辉映的旅程。,8.6,燕尾蝶
最棒的西部片。,9.1,黄金三镖客
我完全康复了。,8.4,发条橙
每个人的内心都是深不可测的大海。 ,8.4,美国丽人
"In memory, love lives forever...",8.4,英国病人
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.5,模仿游戏
昆汀同学越来越变态了，比北野武还杜琪峰。,8.4,无耻混蛋
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8,房间
黑小鸭速效美白记。,8.3,初恋这件小事
乐观比一切都有力量。,8.6,叫我第一名
我不信仰上帝，但我敬畏上帝。,8.6,非常嫌疑犯
大卫·林奇的梦境迷宫。,8.3,穆赫兰道
热血沸腾，相当完美的娱乐拳击大餐。,8.9,勇士
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8,爱在午夜降临前
纯净原始的笑与感动。,8.6,上帝也疯狂
惠及一生的美丽。,8.7,一个叫欧维的男人决定去死
迪士尼和皮克斯拿错剧本的产物。,8.6,无敌破坏王
皇上无话儿。,8.3,国王的演讲
中国版《两杆大烟枪》。,8.2,疯狂的石头
青春的窃窃私语。 ,8.3,蓝色大门
每个美丽事物背后都是滴血的现实。,8.5,血钻
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,8.6,枪火
献给所有外婆的电影。,9.0,爱·回家
捍卫人权只是信仰，一点不妨碍其行为的残忍。,8.6,大卫·戈尔的一生
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8,步履不停
用剩余不多的时间，去燃烧整个生命。,8.5,遗愿清单
我的平常生活就是他人的幸福。,9.0,无人知晓
一部能引人思考的科幻励志片。,8.7,千钧一发
一个人的独角戏。,8.5,荒岛余生
麦兜是一只很哲学的猪。 ,8.5,麦兜故事
小成本大魅力。,8.4,彗星来的那一夜
恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,8.4,暖暖内含光
你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0,我爱你
有些幸福无关爱情。,8.3,曾经
我们长途跋涉寻找的东西，有可能一直就在身边。 ,8.6,蝴蝶
2009媲美《第九区》的又一部科幻神作。,8.5,月球
四百击的反面。,8.6,巴黎淘气帮
充满诗意与情怀的史诗作品。 ,8.9,与狼共舞
